elevation_meters,elevation_factor,rain_intensity_mm_hr,cumulative_rainfall_3h_mm,soil_saturation_percent,drainage_capacity_m3s,drainage_saturation_percent,current_water_level_cm,water_level_rise_rate_10m,future_water_level_15m_cm,future_water_level_30m_cm,future_water_level_60m_cm,is_anomaly,risk_class,risk_label
547.4,0.874,40.5,114.5,81.6,20.5,100.0,38.1,6.18,47.5,57.1,72.6,0,3,CRITICAL
577.2,0.181,16.4,49.3,45.2,14.7,88.2,26.3,3.7,31.7,37.8,46.2,0,3,CRITICAL
571.7,0.309,45.9,105.2,88.0,22.8,100.0,30.3,5.13,38.5,46.3,59.5,0,3,CRITICAL
560.4,0.572,1.7,23.3,38.5,22.7,5.0,11.0,-0.3,11.0,10.4,10.4,0,0,LOW
572.4,0.293,3.9,36.7,57.7,14.1,27.9,13.3,0.0,13.3,13.2,14.1,0,1,MODERATE
553.5,0.733,0.8,35.3,39.4,23.2,2.4,8.9,-0.11,8.8,8.3,6.6,0,0,LOW
578.6,0.149,7.1,19.1,45.5,15.1,37.4,14.4,0.16,14.4,13.9,16.9,0,1,MODERATE
545.7,0.914,8.9,40.5,55.4,20.4,42.3,23.4,0.07,23.8,22.8,22.8,0,2,HIGH
571.7,0.309,5.7,32.9,45.9,18.0,25.4,10.6,0.16,10.7,11.5,10.7,0,0,LOW
552.8,0.749,31.8,52.0,48.4,18.0,100.0,36.6,5.19,44.1,52.1,67.5,0,3,CRITICAL
584.0,0.023,7.9,27.4,35.7,12.9,38.3,9.2,-0.13,8.5,8.9,7.6,0,0,LOW
583.9,0.026,5.9,40.2,42.6,23.0,19.1,6.0,0.24,6.4,6.7,7.2,0,0,LOW
549.9,0.816,14.1,55.7,57.4,22.3,63.5,26.1,-0.07,26.1,25.0,24.4,0,2,HIGH
566.2,0.437,2.7,44.3,44.5,21.5,9.8,9.3,0.13,9.2,9.7,9.9,0,0,LOW
561.0,0.558,29.2,114.8,83.5,19.3,100.0,33.4,5.34,41.9,48.8,63.3,0,3,CRITICAL
570.4,0.34,1.4,9.0,26.0,10.0,6.4,6.4,-0.02,6.2,5.8,7.0,0,0,LOW
572.2,0.298,78.0,177.8,100.0,21.8,100.0,30.3,8.48,43.5,55.6,79.6,0,3,CRITICAL
569.8,0.353,26.6,103.6,73.2,12.5,100.0,29.1,4.64,36.1,42.6,54.7,0,3,CRITICAL
571.6,0.312,4.0,47.0,53.5,17.4,21.5,7.6,-0.3,7.1,6.3,5.0,0,0,LOW
545.9,0.909,0.1,33.7,48.4,24.3,0.3,15.0,0.01,14.8,14.1,16.0,0,1,MODERATE
562.2,0.53,30.4,104.8,76.0,18.8,100.0,33.2,5.0,40.3,47.9,61.6,0,3,CRITICAL
570.8,0.33,22.1,70.0,68.9,14.3,100.0,32.6,4.31,39.1,45.4,56.9,0,3,CRITICAL
555.9,0.677,23.5,80.8,70.7,24.8,100.0,35.1,4.89,42.3,49.1,63.0,0,3,CRITICAL
574.5,0.244,26.6,88.9,68.5,18.2,100.0,31.5,3.9,37.5,42.4,55.8,0,3,CRITICAL
568.2,0.391,1.4,8.6,35.3,18.3,4.7,4.4,0.22,5.1,5.0,4.3,0,0,LOW
577.8,0.167,8.0,44.6,52.5,14.1,52.1,18.0,0.35,18.3,19.2,19.6,0,1,MODERATE
581.6,0.079,2.2,39.6,57.1,14.1,15.6,7.6,-0.11,7.9,7.3,8.1,0,0,LOW
554.2,0.716,35.8,83.5,81.7,17.3,100.0,32.5,5.96,41.3,50.5,67.2,0,3,CRITICAL
561.6,0.544,17.6,37.7,52.8,18.6,87.4,27.8,4.43,34.0,41.6,54.2,0,3,CRITICAL
576.9,0.188,7.2,39.6,56.2,24.7,28.7,10.4,-0.23,10.1,9.9,10.4,0,0,LOW
579.6,0.126,1.2,23.3,40.8,20.8,4.1,3.0,0.02,2.7,3.0,4.8,0,0,LOW
556.6,0.66,6.7,41.5,57.8,22.8,29.7,18.5,-0.04,18.3,18.8,19.2,0,1,MODERATE
579.5,0.128,7.1,11.7,38.5,23.8,20.1,10.5,0.19,10.7,10.3,12.1,0,0,LOW
579.5,0.128,23.5,72.6,74.4,10.7,100.0,29.3,3.14,33.9,38.0,47.6,0,3,CRITICAL
566.3,0.435,18.3,52.0,47.6,23.1,66.0,23.4,0.11,24.0,23.0,23.9,0,2,HIGH
552.9,0.747,39.3,63.6,67.9,23.5,100.0,36.0,5.75,44.6,52.9,69.7,0,3,CRITICAL
569.5,0.36,11.5,31.6,52.7,13.0,81.6,25.0,3.05,29.3,34.3,43.0,0,2,HIGH
584.7,0.007,2.3,43.0,54.7,14.1,15.6,5.4,0.06,5.7,4.7,6.1,0,0,LOW
563.4,0.502,22.5,71.0,71.5,19.1,100.0,31.1,4.51,38.0,45.0,58.1,0,3,CRITICAL
570.3,0.342,25.7,90.4,83.3,19.7,100.0,29.0,4.07,35.2,41.7,51.1,0,3,CRITICAL
554.7,0.705,14.8,42.5,43.9,18.1,62.8,28.0,0.21,28.7,29.3,28.3,0,2,HIGH
577.5,0.174,26.5,84.5,77.2,15.1,100.0,25.8,4.5,32.2,40.2,53.2,0,3,CRITICAL
573.1,0.277,12.3,72.7,72.4,15.5,100.0,31.1,2.2,34.4,37.6,44.5,0,3,CRITICAL
570.9,0.328,13.3,61.3,69.5,11.6,100.0,28.3,2.42,32.3,35.7,43.8,0,3,CRITICAL
551.5,0.779,10.0,46.0,61.2,14.5,73.9,28.3,-0.12,28.6,27.5,27.6,0,2,HIGH
546.2,0.902,0.5,6.7,32.4,20.1,1.4,13.6,0.18,13.8,14.6,13.4,0,1,MODERATE
559.8,0.586,2.1,22.4,39.4,24.3,6.0,6.7,-0.14,6.4,7.2,7.2,0,0,LOW
546.3,0.9,0.6,23.2,51.2,15.4,3.5,12.1,-0.27,11.3,12.0,10.4,0,0,LOW
570.5,0.337,18.2,64.4,52.6,21.8,76.8,22.7,2.99,27.2,30.8,41.0,0,2,HIGH
550.9,0.793,6.8,45.3,49.2,12.2,48.0,24.9,-0.26,24.9,23.4,22.1,0,2,HIGH
552.8,0.749,12.8,45.4,43.2,10.2,94.9,35.5,3.75,40.9,46.1,55.6,0,3,CRITICAL
573.9,0.258,42.9,117.4,88.2,21.7,100.0,29.2,4.74,36.3,44.3,55.0,0,3,CRITICAL
575.7,0.216,5.2,34.3,46.3,24.5,17.2,5.3,-0.01,5.2,5.6,5.2,0,0,LOW
581.1,0.091,9.5,15.7,40.0,11.0,60.5,15.9,0.17,16.2,16.1,18.7,0,1,MODERATE
564.8,0.47,25.4,73.1,58.5,20.5,100.0,33.8,4.68,41.1,48.3,59.9,0,3,CRITICAL
561.4,0.549,4.7,20.9,39.5,16.2,20.1,10.2,-0.05,10.3,9.8,8.7,0,0,LOW
581.7,0.077,1.4,35.1,39.4,11.4,8.5,5.5,0.12,5.7,6.0,6.4,0,0,LOW
556.2,0.67,6.2,22.8,44.7,21.3,22.8,16.9,0.16,17.6,17.6,17.3,0,1,MODERATE
566.9,0.421,3.2,31.2,40.1,11.6,19.4,13.0,-0.12,13.1,12.8,13.4,0,0,LOW
578.3,0.156,47.8,164.6,100.0,19.6,100.0,25.0,6.11,34.5,42.9,59.3,0,3,CRITICAL
572.2,0.298,29.7,63.9,52.1,23.0,100.0,30.0,4.22,36.0,42.9,52.8,0,3,CRITICAL
574.1,0.253,18.1,44.7,49.2,15.6,99.9,30.3,3.75,36.0,40.7,50.4,0,3,CRITICAL
548.8,0.842,36.9,107.7,79.3,19.9,100.0,36.0,6.22,45.1,55.2,70.7,0,3,CRITICAL
560.5,0.57,29.3,75.6,67.5,20.0,100.0,30.1,4.86,37.5,43.7,57.6,0,3,CRITICAL
551.1,0.788,3.7,15.5,34.3,10.1,22.0,17.4,-0.22,17.0,17.1,16.1,0,1,MODERATE
577.8,0.167,40.2,103.0,88.7,10.6,100.0,25.1,5.52,33.7,41.8,57.4,0,3,CRITICAL
572.5,0.291,14.0,30.8,35.8,14.9,58.9,21.0,0.25,21.7,22.6,21.0,0,2,HIGH
578.3,0.156,29.7,70.8,65.9,15.9,100.0,26.7,3.77,32.2,37.3,48.6,0,3,CRITICAL
546.9,0.886,40.8,118.5,86.2,20.9,100.0,38.5,7.2,49.0,59.4,79.2,0,3,CRITICAL
567.9,0.398,6.9,42.9,45.0,21.6,25.2,12.0,0.19,12.5,12.5,14.6,0,0,LOW
566.3,0.435,2.1,29.6,52.1,19.4,9.9,6.6,-0.32,6.1,5.2,3.9,0,0,LOW
544.4,0.944,4.7,21.9,40.0,10.9,30.2,21.9,-0.26,21.9,21.8,20.8,0,1,MODERATE
563.8,0.493,10.0,41.6,56.6,23.4,42.3,17.2,0.29,17.8,17.7,18.8,0,1,MODERATE
548.5,0.849,30.7,44.0,60.0,15.2,100.0,37.5,5.83,45.9,54.5,71.1,0,3,CRITICAL
560.9,0.56,35.5,78.6,66.8,14.2,100.0,32.2,5.25,40.2,48.5,63.2,0,3,CRITICAL
544.8,0.935,0.1,27.3,39.3,20.9,0.3,13.2,0.15,13.8,13.3,14.4,0,1,MODERATE
548.1,0.858,12.9,61.4,64.7,15.9,91.9,34.8,5.08,42.2,49.8,65.3,0,3,CRITICAL
577.0,0.186,9.7,55.2,62.4,20.3,52.2,16.4,0.18,16.6,16.7,16.9,0,1,MODERATE
549.8,0.819,4.5,44.8,52.1,13.4,30.6,16.3,-0.26,16.3,14.7,15.8,0,1,MODERATE
577.9,0.165,2.3,7.5,30.5,21.5,5.7,3.0,-0.13,2.5,3.3,3.2,0,0,LOW
576.8,0.191,7.4,28.3,42.4,20.1,27.3,8.5,0.01,8.3,9.0,8.4,0,0,LOW
565.0,0.465,51.5,119.6,89.2,22.5,100.0,30.8,7.2,42.1,52.3,71.8,0,3,CRITICAL
558.4,0.619,7.0,53.0,62.8,22.0,35.0,15.0,-0.11,15.0,15.4,14.6,0,1,MODERATE
546.4,0.898,13.2,67.8,59.6,21.4,64.3,26.5,0.41,26.8,27.6,30.5,0,2,HIGH
551.5,0.779,21.9,56.1,48.6,10.8,100.0,35.4,4.55,42.7,48.8,60.1,0,3,CRITICAL
582.0,0.07,8.1,46.6,59.1,12.1,69.2,17.9,0.26,18.5,18.0,20.1,0,1,MODERATE
561.3,0.551,64.2,80.7,65.5,22.5,100.0,32.9,8.1,45.1,56.4,79.1,0,3,CRITICAL
554.9,0.7,59.1,92.2,82.0,16.9,100.0,32.1,8.34,44.7,56.2,80.5,0,3,CRITICAL
552.4,0.758,5.2,24.6,44.6,13.6,29.8,17.0,0.1,16.7,18.2,16.0,0,1,MODERATE
564.6,0.474,12.4,64.5,63.3,15.9,86.4,28.1,3.63,34.0,38.5,47.4,0,3,CRITICAL
575.9,0.212,6.4,40.5,52.8,21.6,27.4,11.8,-0.07,11.2,11.7,12.5,0,0,LOW
549.5,0.826,6.0,33.3,50.6,19.5,27.2,19.6,-0.24,19.5,18.8,17.5,0,1,MODERATE
543.9,0.956,0.7,2.7,40.0,17.7,2.8,16.1,-0.06,15.8,16.4,14.6,0,1,MODERATE
557.3,0.644,16.9,76.0,64.6,11.9,100.0,32.9,4.8,40.3,48.1,60.3,0,3,CRITICAL
583.9,0.026,12.6,45.0,61.0,17.8,75.6,22.0,2.66,25.6,30.2,38.6,0,2,HIGH
565.5,0.453,1.0,4.9,35.7,14.6,4.3,8.1,-0.12,8.1,7.4,5.8,0,0,LOW
579.4,0.13,5.9,50.3,50.6,24.7,21.2,10.6,-0.24,10.4,9.6,10.3,0,0,LOW
571.2,0.321,43.0,122.9,93.6,21.7,100.0,27.1,4.84,34.6,41.4,54.8,0,3,CRITICAL
566.4,0.433,4.9,37.8,57.9,15.6,31.8,15.7,0.04,15.8,15.6,16.5,0,1,MODERATE
552.7,0.751,2.8,33.3,46.6,15.8,14.5,14.0,-0.19,13.5,13.3,14.7,0,1,MODERATE
554.3,0.714,12.1,51.9,48.4,22.8,45.0,20.5,0.38,21.0,20.8,23.4,0,1,MODERATE
578.4,0.153,76.4,144.6,93.6,18.1,100.0,30.2,8.27,42.8,55.9,78.7,0,3,CRITICAL
576.1,0.207,5.0,14.9,31.5,12.1,22.8,10.9,-0.28,10.5,9.8,10.4,0,0,LOW
565.7,0.449,20.1,47.2,49.8,25.0,70.1,25.2,0.32,25.9,26.8,25.5,0,2,HIGH
583.8,0.028,25.8,75.5,71.4,15.2,100.0,28.6,3.8,34.4,39.4,52.3,0,3,CRITICAL
560.6,0.567,4.9,15.2,30.1,12.3,21.0,11.0,-0.11,11.0,10.4,11.9,0,0,LOW
580.5,0.105,23.4,69.8,67.6,18.3,100.0,25.0,3.09,29.7,34.3,41.7,0,2,HIGH
582.5,0.058,8.3,38.4,53.6,19.1,40.8,14.0,0.1,14.5,13.4,12.9,0,1,MODERATE
569.6,0.358,18.0,64.3,67.5,16.2,100.0,31.1,3.58,36.6,41.4,53.5,0,3,CRITICAL
562.8,0.516,18.1,72.4,62.1,11.1,100.0,29.6,3.9,35.4,40.7,52.6,0,3,CRITICAL
555.4,0.688,13.8,61.8,68.1,24.6,66.9,23.8,0.1,24.0,23.7,24.3,0,2,HIGH
553.5,0.733,1.7,6.6,29.1,15.8,5.5,11.9,-0.22,11.9,10.6,10.0,0,0,LOW
566.8,0.423,32.5,85.8,72.9,17.7,100.0,31.1,4.62,37.6,45.9,57.9,0,3,CRITICAL
583.6,0.033,7.0,24.9,33.5,17.4,23.6,9.6,0.13,9.8,10.1,11.6,0,0,LOW
560.5,0.57,3.7,38.8,54.7,15.5,22.9,13.0,0.02,12.7,13.2,11.6,0,1,MODERATE
563.7,0.495,0.7,12.9,46.2,20.2,2.8,5.4,0.2,5.6,6.6,6.0,0,0,LOW
582.4,0.06,16.1,46.7,53.5,17.5,86.1,20.5,2.14,23.5,26.9,32.8,0,2,HIGH
568.1,0.393,20.4,54.4,59.5,12.4,100.0,33.7,4.22,39.8,46.0,59.4,0,3,CRITICAL
564.9,0.467,0.3,12.7,42.7,15.5,1.4,8.0,0.19,8.4,9.2,9.9,0,0,LOW
571.6,0.312,12.9,35.0,56.8,21.7,59.1,21.2,0.2,21.7,22.0,21.2,0,2,HIGH
569.0,0.372,4.6,43.7,44.8,20.2,17.9,7.1,0.26,7.1,6.9,7.9,0,0,LOW
548.5,0.849,18.7,59.5,65.2,23.8,89.6,35.8,5.22,43.2,50.7,65.0,0,3,CRITICAL
556.0,0.674,3.4,28.7,40.6,12.6,19.2,16.4,-0.13,16.1,16.6,16.4,0,1,MODERATE
569.7,0.356,21.1,73.1,60.4,13.7,100.0,30.6,3.41,36.2,40.4,49.6,0,3,CRITICAL
550.9,0.793,8.8,33.2,43.6,24.0,28.0,19.3,-0.06,18.8,19.5,18.5,0,1,MODERATE
584.1,0.021,49.7,162.9,100.0,14.4,100.0,25.0,5.6,33.2,41.7,56.6,0,3,CRITICAL
562.6,0.521,2.7,25.7,51.5,20.4,11.9,8.0,0.02,8.1,7.5,8.7,0,0,LOW
564.8,0.47,7.5,18.8,37.7,20.8,23.8,10.2,0.21,10.0,10.9,13.0,0,0,LOW
559.5,0.593,2.2,41.1,50.1,13.0,14.8,14.6,-0.16,14.5,14.9,12.2,0,1,MODERATE
566.7,0.426,46.6,124.7,100.0,23.7,100.0,29.2,6.62,38.8,49.9,69.4,0,3,CRITICAL
559.1,0.602,37.8,112.8,95.6,23.9,100.0,35.5,5.04,43.1,49.8,66.5,0,3,CRITICAL
554.2,0.716,5.4,36.8,48.3,24.1,18.9,16.4,-0.01,16.1,15.6,15.1,0,1,MODERATE
561.7,0.542,19.4,38.7,54.1,21.9,83.9,28.9,4.54,35.4,43.2,56.7,0,3,CRITICAL
577.6,0.172,30.6,65.4,66.1,12.8,100.0,25.9,3.86,31.4,37.0,47.3,0,3,CRITICAL
574.4,0.247,14.6,51.9,60.4,10.2,100.0,29.9,3.32,34.4,39.1,48.5,0,3,CRITICAL
559.4,0.595,13.6,63.1,65.6,14.7,100.0,30.8,4.45,37.3,44.4,55.6,0,3,CRITICAL
547.7,0.867,5.0,37.1,50.7,16.2,27.4,18.6,-0.02,18.6,18.9,17.5,0,1,MODERATE
552.6,0.753,1.8,39.3,41.3,16.7,7.8,13.2,-0.32,12.8,11.4,11.5,0,0,LOW
563.7,0.495,41.0,92.8,73.0,17.8,100.0,29.6,5.33,37.7,44.8,60.6,0,3,CRITICAL
576.8,0.191,41.5,100.4,79.3,10.9,100.0,28.1,5.51,36.6,44.4,61.2,0,3,CRITICAL
574.1,0.253,18.0,40.1,46.9,11.0,100.0,32.0,3.98,37.5,44.8,53.4,0,3,CRITICAL
559.6,0.591,7.5,48.9,64.0,19.7,42.6,18.3,0.35,18.7,20.1,21.8,0,1,MODERATE
558.2,0.623,7.7,44.1,52.8,19.8,35.9,16.5,-0.14,16.3,16.1,16.5,0,1,MODERATE
551.6,0.777,23.3,29.0,40.5,20.1,82.2,31.1,5.1,39.1,45.9,60.1,0,3,CRITICAL
553.9,0.723,40.9,139.4,92.0,22.1,100.0,34.2,6.73,44.7,53.4,72.2,0,3,CRITICAL
546.3,0.9,39.3,73.2,70.7,10.7,100.0,38.2,6.5,47.7,57.1,77.2,0,3,CRITICAL
544.4,0.944,27.2,66.1,69.4,21.0,100.0,36.2,5.93,45.3,53.6,69.9,0,3,CRITICAL
548.2,0.856,18.5,50.6,51.3,10.9,100.0,39.0,5.44,47.6,55.6,70.3,0,3,CRITICAL
563.3,0.505,1.6,42.1,54.5,21.8,7.0,7.7,-0.12,7.2,7.1,7.9,0,0,LOW
562.4,0.526,3.2,20.2,44.3,22.1,11.2,12.6,0.0,13.1,12.7,11.3,0,0,LOW
552.4,0.758,41.2,88.7,82.8,22.7,100.0,32.7,6.78,42.6,52.6,72.6,0,3,CRITICAL
567.9,0.398,16.8,51.2,60.8,20.9,85.5,27.5,3.56,33.2,37.8,49.8,0,3,CRITICAL
542.7,0.984,0.2,39.0,41.8,25.0,0.6,12.8,-0.25,12.5,11.5,12.8,0,0,LOW
565.7,0.449,1.9,19.9,40.6,15.4,8.8,7.2,-0.05,7.1,6.2,8.6,0,0,LOW
562.2,0.53,19.6,86.4,70.6,16.2,100.0,32.7,3.73,37.9,43.4,55.9,0,3,CRITICAL
566.9,0.421,0.1,6.3,29.7,15.7,0.3,8.1,-0.1,8.1,8.2,6.6,0,0,LOW
577.3,0.179,3.2,34.5,47.1,12.5,21.1,10.2,-0.23,10.1,9.5,10.4,0,0,LOW
565.3,0.458,14.3,34.2,37.8,22.7,41.7,19.6,0.29,20.3,20.3,22.5,0,1,MODERATE
552.0,0.767,21.2,49.8,55.0,15.6,100.0,35.9,5.11,43.7,51.2,65.5,0,3,CRITICAL
542.3,0.993,19.0,40.0,50.6,14.1,100.0,40.8,4.53,47.9,54.7,68.2,0,3,CRITICAL
581.1,0.091,4.6,10.2,28.1,12.9,17.5,6.6,0.18,6.6,6.9,7.2,0,0,LOW
559.5,0.593,22.4,86.7,67.9,20.3,100.0,35.2,4.76,42.7,50.0,61.3,0,3,CRITICAL
558.3,0.621,4.9,12.5,26.4,12.6,18.0,13.0,-0.04,13.2,13.0,14.1,0,1,MODERATE
546.1,0.905,7.1,16.2,32.3,23.0,17.4,18.5,0.03,18.1,17.7,20.2,0,1,MODERATE
580.7,0.1,24.7,53.2,65.2,14.7,100.0,30.0,3.61,35.7,41.3,50.6,0,3,CRITICAL
545.3,0.923,18.9,37.2,55.3,15.8,100.0,39.5,4.82,47.0,53.2,69.2,0,3,CRITICAL
573.1,0.277,34.1,107.2,74.7,16.6,100.0,31.4,4.43,38.3,45.6,56.7,0,3,CRITICAL
575.3,0.226,19.3,35.0,57.4,17.4,100.0,27.8,4.02,33.8,40.2,51.7,0,3,CRITICAL
545.7,0.914,15.1,65.0,66.8,11.2,100.0,34.9,5.06,42.6,50.6,63.6,0,3,CRITICAL
546.6,0.893,1.8,14.5,34.4,14.0,7.7,11.4,-0.25,11.0,10.8,9.6,0,0,LOW
543.1,0.974,8.3,18.4,41.2,14.9,40.2,22.1,-0.06,21.9,21.1,23.2,0,1,MODERATE
580.9,0.095,5.5,38.1,42.4,15.7,26.0,6.5,-0.11,6.3,5.3,5.6,0,0,LOW
560.1,0.579,5.0,13.0,31.5,13.7,20.1,13.7,0.06,13.5,13.1,13.3,0,1,MODERATE
582.8,0.051,65.0,137.4,100.0,14.9,100.0,25.6,7.05,36.5,47.7,65.2,0,3,CRITICAL
555.8,0.679,9.0,32.5,42.5,24.5,27.3,18.8,-0.05,18.9,18.6,18.8,0,1,MODERATE
552.4,0.758,40.1,104.9,80.3,11.7,100.0,35.5,6.49,45.3,55.3,73.3,0,3,CRITICAL
583.0,0.047,18.0,63.2,60.4,14.4,100.0,27.7,3.28,32.9,37.4,46.7,0,3,CRITICAL
569.2,0.367,28.5,71.6,70.1,21.8,100.0,27.9,5.18,35.6,43.2,58.0,0,3,CRITICAL
581.6,0.079,12.6,50.8,61.2,15.4,87.6,26.2,2.51,30.1,32.9,41.7,0,2,HIGH
570.3,0.342,15.5,53.3,47.5,24.8,52.0,19.2,0.15,19.7,20.6,19.8,0,1,MODERATE
542.5,0.988,12.2,40.1,50.4,18.7,57.5,27.7,0.11,27.8,28.6,28.7,0,2,HIGH
563.5,0.5,3.9,7.8,26.0,16.2,11.0,12.5,-0.25,12.6,11.0,10.4,0,0,LOW
